fen,best
8/8/5k2/6p1/7Q/5P2/4q2P/7K w - - 0 44,h4e4
r4rk1/p2p1p2/1qb1p2p/1Bp3p1/Q7/2b2PB1/PPP3PP/2KR3R w - - 0 18,b5c6
2B3k1/5p1p/pn3B2/1p6/4qnP1/1PQ4P/P4P2/5K2 w - - 7 37,c8f5
3Rrbk1/1pp2ppp/p4n2/6B1/8/2N2n2/PPP2PPP/4R1K1 w - - 1 16,g1f1
r2q1rk1/pp1n1ppp/2p2b2/2Pp4/1Pn5/2NQBP2/P1B2PPP/R3R1K1 b - - 2 16,d7e5
1r2R1k1/2p2pb1/2P2Qp1/7p/1P1B4/6PP/2q2P1K/8 b - - 2 52,b8e8
rk2R1r1/1b3q1p/1B1b1p2/1p1p1B2/2pN1Qp1/2P5/PP3PPP/3R2K1 b - - 2 26,f7e8
r4rk1/1ppnqp2/pb2p1Pp/6N1/7Q/2P5/P2B1PP1/R4RK1 b - - 0 21,h6g5
3r2k1/2r2ppp/1q2p3/pp1pPPQ1/8/P1P2R2/1P4PP/3R3K b - - 4 27,e6f5
6K1/r6P/6k1/8/8/8/8/8 w - - 1 68,h7h8q
rn3r2/pQp2pk1/6pp/8/2BP2P1/2P1b1qP/PP4N1/R4RK1 w - - 1 21,g1h1
3r3k/1q4pp/p2RQ1p1/1p6/8/8/PPP3PP/2K5 b - - 0 25,d8d6
r1bq3r/pppn2k1/3bpnpp/4N3/3PN3/5Q2/PPP2PPP/R1BR2K1 b - - 3 12,f6e4
2kr1bnr/1pp2pp1/p2p4/4p3/B1PnP1q1/8/PP1P1PPN/RNB2RK1 w - - 0 13,h2g4
8/3r2pk/4p1Qp/3q4/3P4/6RP/1r6/5RK1 b - - 5 37,h7h8
r1bq1knr/1pp3p1/p1np3p/2b4B/4P3/1QN2N2/PP3PPP/R1B2RK1 b - - 2 10,g8f6
r1q1nrk1/1pp2ppp/p1n1b3/2bNP3/4Q3/3B1N1P/PP3PP1/R1B2RK1 b - - 8 15,e6d5
r3n1k1/5pp1/p6p/1p1p1P2/6Q1/1N4R1/P1q1r1PP/5RK1 b - - 1 30,e8f6
r4rk1/ppb2pp1/7p/2Pp4/6n1/4P2q/PPQBBP1N/2R2RK1 w - - 4 19,e2g4
rn3rk1/pp1bbppp/1q1p4/3P1n2/5R2/2NB3P/PPPB2PN/R2Q2K1 w - - 11 18,g1h1
k2r3r/1p1Nbppp/4p3/1p5b/1PN1P3/5P2/1P4PP/2R2RK1 b - - 0 19,b5c4
3r1r1k/1p4p1/1b5p/Q4p2/5P1P/4q1P1/PPP5/1K1R1B1R w - - 1 21,a5b5
2kr3r/2pq1pp1/3bpn2/2p1N1Np/8/3PBQ2/PP3PPP/4R1K1 b - - 3 17,d6e5
r3bk2/bp3p2/p3pQN1/5p2/8/6P1/PP2PqBP/R6K b - - 3 23,f8g8
r3k2r/pbp2pp1/1p2pn1p/3qn3/P2P4/2B5/1PP1BPPP/R2Q1RK1 w kq - 0 12,d4e5
1r2r1k1/p1N2p1p/2q3p1/2p5/3b1P2/1P1Q2P1/P2n3P/R1B1RK2 w - - 3 28,c1d2
k7/prn2p2/3qp3/NP6/2PPQ3/1K6/8/8 b - - 2 59,c7b5
r4B2/1pp4k/3pB3/3Pp1p1/p1P1P3/8/PPK4R/6r1 b - - 1 28,h7g6
7k/p3q2p/1p2BP1Q/2pp4/3P2P1/2PbP3/PP6/6K1 b - - 0 31,e7e6
r6r/ppp1n1pp/2n3k1/4PbN1/5B1P/2P3P1/P1P5/2KR3R b - - 0 17,h7h6
8/8/8/8/2q4Q/7K/8/6k1 b - - 0 63,c4c2
3rr3/2p2ppp/2p3k1/R7/5b2/7P/PBP2PP1/3R2K1 w - - 2 21,d1d8
rn3rk1/2b2ppp/p2qp3/1pp5/4B3/3P3P/PPP2PP1/R1BQ1RK1 w - - 1 15,e4a8
5r1k/6p1/3p3p/3Q2b1/1pB5/1P5n/1NP3PP/R5qK w - - 9 33,a1g1
r1bq1r1k/ppp1n1pp/2P2p2/8/8/P1p1P3/QP3PPP/R3KBNR w KQ - 1 13,c6b7
r3r1k1/2p1b2p/1pb2ppQ/3qB3/p2P2P1/2P2N1P/P4P2/R3R1K1 w - - 0 26,f3g5
2k1rb1r/1pp3pp/p3p3/3pP3/b2P4/PqP1nP2/1P3Q1P/1NK1RBR1 w - - 0 23,e1e3
2R5/7k/pb1B1p1p/1p1b2p1/1P3PPK/P6P/4R3/6r1 w - - 0 44,h4h5
